model,Year,Group,DALY,DALY_scenario_low,DALY_scenario_high,VLW_billion,VLW_scenario_low_billion,VLW_scenario_high_billion,scenario_nominal_level,simulation_draws,interval_interpretation,method
ARIMA,2030,Lower middle income,1993407.0544922089,1778064.9009044678,2208749.20807995,120.33234088701509,107.33317678028182,133.33150499374835,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2030,Upper middle income,5191803.179245522,4861996.588011722,5521609.770479322,728.2077249459446,681.9487087269507,774.4667411649385,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2030,All LMICs,7785994.470842712,7014800.990844799,8548881.024780871,908.873864913461,814.3468136465086,1003.0294159636434,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ETS,2030,Low income,206043.18717563563,179053.45024641958,233032.92410485167,2.8130948536962936,2.4446056495690316,3.1815840578235557,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2030,Lower middle income,1966448.052803387,1746867.4723850815,2186028.6332216924,118.70495636769056,105.44993893634363,131.95997379903747,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2030,Upper middle income,5613503.2308636885,4989087.673759251,6237918.787968126,787.3558136920742,699.7746368713545,874.936990512794,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2035,All LMICs,8285539.9828334935,7503121.206709398,9062825.398312028,939.9219669734108,863.3420645114244,1016.1251818266621,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2035,Low income,260163.0761004663,205327.0153437659,314999.1368571667,3.5519903401424426,2.803317004099754,4.300663676185131,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2035,Lower middle income,2369055.242124792,1956753.4075195985,2781357.076729986,143.00840479775917,118.11973752920065,167.89707206631766,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2035,Upper middle income,5656321.6646082355,5244434.389206938,6068208.9400095325,793.3615718355092,735.5898333086743,851.133310362344,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2035,All LMICs,8619299.260586683,7301367.421013604,9949356.700296117,995.4695225599364,837.8278903133489,1154.8077593233847,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ETS,2035,Low income,246023.01298710078,189957.8590591913,302088.16691501025,3.358936935560605,2.5934828666917724,4.1243910044294365,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2035,Lower middle income,2282143.56556752,1846827.9612033898,2717459.16993165,137.76196731426396,111.48407009315416,164.03986453537377,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2035,Upper middle income,6091132.682032063,5058214.378324186,7124050.985739939,854.3486183101119,709.470420499184,999.2268161210397,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2040,All LMICs,9158997.614921698,8067787.853038183,10248644.600901745,1026.2315708538215,927.946720097664,1124.587783907198,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2040,Low income,309051.9807671824,218180.27489419922,399923.68664016563,4.2194675229893335,2.978801759457015,5.460133286521652,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2040,Lower middle income,2744703.429757376,2097935.7836752646,3391471.075839488,165.68446870850326,126.64223461604378,204.72670280096278,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2040,Upper middle income,6105242.20439714,5626919.042429366,6583565.366364914,856.3276346223289,789.237529404565,923.4177398400927,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2040,All LMICs,9372540.60745283,7446562.7545670485,11302504.80284047,1073.745115520283,846.7685682806504,1302.2349699066299,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ETS,2040,Low income,282161.6011589671,192526.30310525614,371796.8992126781,3.852334838202582,2.628549673932688,5.076120002472476,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2040,Lower middle income,2567507.2833686112,1884695.1222594222,3250319.4444778003,154.98799452724285,113.76992742587977,196.20606162860594,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2040,Upper middle income,6522871.722925251,5051990.621267946,7993752.824582556,914.9047861548377,708.5974698479231,1121.2121024617522,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2045,All LMICs,10022236.754926622,8613824.906902231,11429213.333951393,1111.1079183846673,991.466172193337,1230.7166206299978,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2045,Low income,357940.88543389854,225441.0128209491,490440.758046848,4.886944705836224,3.0779321639889874,6.69595724768346,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2045,Lower middle income,3120351.61738996,2206676.773403558,4034026.4613763625,188.36053261924738,133.20640213761885,243.5146631008759,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2045,Upper middle income,6543944.252102762,6007962.175298389,7079926.328907136,917.8604410595836,842.6830363532991,993.0378457658682,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2045,All LMICs,10053410.96078784,7455791.380866018,12638858.49307961,1144.5000311802296,844.141654955273,1446.9473819279333,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ETS,2045,Low income,314828.01549540064,188648.9459869924,441007.0850038089,4.298327366847559,2.575612357708625,6.021042375986492,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2045,Lower middle income,2825453.4629777647,1874227.4779170072,3776679.448038522,170.55895759034823,113.13804637355933,227.97986880713714,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2045,Upper middle income,6913129.482314676,4982648.782063447,8843610.182565905,969.6427462230338,698.8715112113298,1240.4139812347378,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2050,All LMICs,10878881.204565309,9103277.08121767,12630985.458198467,1195.0592877715965,1051.2020884832946,1336.8609239716102,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2050,Low income,406829.79010061466,227779.02219885707,585880.5580023723,5.554421888683114,3.1098528609993674,7.9989909163668615,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2050,Lower middle income,3495999.805022544,2286472.8221957176,4705526.78784937,211.0365965299915,138.02330359437678,284.0498894656062,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2050,Upper middle income,6976051.60944215,6388263.081001045,7563840.137883255,978.4682693529218,896.0244377461112,1060.9121009597325,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2050,All LMICs,10668863.683848374,7395645.411140123,13932763.265192563,1208.4568522110496,830.7994720229001,1586.5553910802469,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ETS,2050,Low income,344355.86037203786,179631.54720688687,509080.17353718885,4.701469201342696,2.4524983715110666,6.950440031174325,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2050,Lower middle income,3058616.361497807,1824938.6054894924,4292294.117506121,184.63387386180958,110.1627155772132,259.10503214640596,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2050,Upper middle income,7265891.461978529,4861035.260835089,9670747.663121969,1019.1215091478973,681.8138719752372,1356.4291463205573,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
